policy,input,eval_config,avg_reward,avg_win_rate,avg_deaths,avg_agent_takedowns,avg_minion_takedowns,switch_reward_delta,switch_reward_std_delta,switch_action_shift
aggressiveExpert_neutral,obs,strategySwitching_onlyOBS,139.3384,0.02,14.62,22.8,21.06,-0.0148,-0.1981,0.496
aggressiveExpert_neutral_belief,obs+belief,strategySwitching_belief,112.4393,0.0,14.0,20.86,17.48,0.0013,0.1022,0.4128
